,Start,End,Twoday,Meeting,Press Conference,Record of Policy Actions,Minutes,Beige Book,Tealbook A,Tealbook B,Greenbook,Bluebook,Redbook,Longer-Run Goals,Memoranda,Statement,Supplement,Transcript,Individual Projections
65,1948-10-04 00:00:00,1948-10-04 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1948/fomcropa19481004.pdf,Documents/Minutes/1948/FOMChistmin19481004.pdf,,,,,,,,,,,,
66,1948-11-15 00:00:00,1948-11-15 00:00:00,0,Meeting,0,,Documents/Minutes/1948/FOMChistmin19481115.pdf,,,,,,,,,,,,
67,1948-11-30 00:00:00,1948-11-30 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1948/fomcropa19481130.pdf,Documents/Minutes/1948/FOMChistmin19481130.pdf,,,,,,,,,,,,
68,1949-02-28 00:00:00,1949-02-28 00:00:00,0,Meeting,0,,Documents/Minutes/1949/FOMChistmin19490228.pdf,,,,,,,,,,,,
69,1949-03-01 00:00:00,1949-03-01 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1949/fomcropa19490301.pdf,Documents/Minutes/1949/FOMChistmin19490301.pdf,,,,,,,,,,,,
70,1949-05-03 00:00:00,1949-05-03 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1949/fomcropa19490503.pdf,Documents/Minutes/1949/FOMChistmin19490503.pdf,,,,,,,,,,,,
71,1949-06-28 00:00:00,1949-06-28 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1949/fomcropa19490628.pdf,Documents/Minutes/1949/FOMChistmin19490628.pdf,,,,,,,,,,,,
72,1949-08-05 00:00:00,1949-08-05 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1949/fomcropa19490805.pdf,Documents/Minutes/1949/FOMChistmin19490805.pdf,,,,,,,,,,,,
73,1949-12-13 00:00:00,1949-12-13 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1949/fomcropa19491213.pdf,Documents/Minutes/1949/FOMChistmin19491213.pdf,,,,,,,,,,,,
74,1950-02-28 00:00:00,1950-02-28 00:00:00,0,Meeting,0,,Documents/Minutes/1950/FOMChistmin19500228.pdf,,,,,,,,,,,,
75,1950-03-01 00:00:00,1950-03-01 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19500301.pdf,Documents/Minutes/1950/FOMChistmin19500301.pdf,,,,,,,,,,,,
76,1950-06-13 00:00:00,1950-06-14 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19500614.pdf,Documents/Minutes/1950/FOMChistmin19500614.pdf,,,,,,,,,,,,
77,1950-08-18 00:00:00,1950-08-18 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19500818.pdf,Documents/Minutes/1950/FOMChistmin19500818.pdf,,,,,,,,,,,,
78,1950-09-28 00:00:00,1950-09-28 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1950/fomcropa19500928.pdf,Documents/Minutes/1950/FOMChistmin19500928.pdf,,,,,,,,,,,,
